S_ID,V_ID,weight
S_1,V_30,3
S_1,V_48,1.75
S_1,V_58,23
S_1,V_95,1
S_1,V_98,4.75
S_10,V_30,0.5
S_10,V_35,26.25
S_10,V_53,2
S_10,V_58,58
S_10,V_86,10.75
S_10,V_89,4.25
S_10,V_97,0.5
S_10,V_98,0.5
S_11,V_30,21.5
S_11,V_35,23
S_11,V_53,2.25
S_11,V_58,23.25
S_11,V_86,4.75
S_11,V_89,33.5
S_12,V_58,110.75
S_13,V_28,1.5
S_13,V_48,4.25
S_13,V_61,3.75
S_14,V_6,6
S_15,V_13,1
S_15,V_2,1
S_15,V_22,1
S_15,V_3,1
S_15,V_30,1.5
S_15,V_34,1.5
S_15,V_36,3.5
S_15,V_37,13.75
S_15,V_39,2
S_15,V_40,1.25
S_15,V_48,1
S_15,V_52,3
S_15,V_54,2
S_15,V_76,1
S_15,V_78,1
S_15,V_85,1
S_15,V_91,1
S_15,V_92,0.5
S_15,V_96,2
S_16,V_10,3
S_16,V_35,0.5
S_16,V_58,6
S_16,V_86,1
S_16,V_89,62
S_16,V_95,1
S_16,V_98,1
S_17,V_10,2
S_17,V_30,6
S_17,V_35,9.5
S_17,V_48,5.5
S_17,V_51,2
S_17,V_52,7.75
S_17,V_58,33.95
S_17,V_77,2.5
S_17,V_86,49
S_17,V_98,0.5
S_18,V_10,4
S_18,V_11,1.25
S_18,V_30,10
S_18,V_58,28.25
S_18,V_86,5.25
S_19,V_58,26.75
S_19,V_86,7.5
S_2,V_1,27.75
S_2,V_12,8.25
S_2,V_13,7.5
S_2,V_19,75
S_2,V_21,45
S_2,V_24,1.5
S_2,V_27,0.75
S_2,V_38,10.75
S_2,V_40,15
S_2,V_41,45
S_2,V_42,43.5
S_2,V_43,3
S_2,V_48,7.5
S_2,V_50,1.5
S_2,V_52,21
S_2,V_54,1.5
S_2,V_58,10.5
S_2,V_65,60
S_2,V_66,45
S_2,V_69,22.5
S_2,V_75,46.5
S_2,V_76,9
S_2,V_79,4
S_2,V_85,15.75
S_2,V_90,3.5
S_2,V_93,2
S_2,V_94,2
S_20,V_19,1
S_20,V_57,22.75
S_20,V_7,3
S_20,V_74,0.5
S_20,V_85,1
S_20,V_87,1
S_20,V_9,6.5
S_21,V_30,24.5
S_21,V_58,28.5
S_21,V_89,1
S_22,V_10,3
S_22,V_30,8.75
S_22,V_35,8.75
S_22,V_58,11
S_22,V_89,2
S_22,V_98,1.5
S_23,V_14,2.5
S_23,V_2,1.5
S_23,V_33,1.5
S_23,V_46,2
S_23,V_51,2
S_23,V_58,2.5
S_23,V_72,1.75
S_23,V_77,3.5
S_23,V_9,1.75
S_23,V_95,5.75
S_24,V_30,1.5
S_24,V_58,5.75
S_24,V_6,2
S_24,V_62,1.75
S_24,V_63,3.5
S_24,V_70,3.25
S_24,V_77,2
S_24,V_82,1.75
S_24,V_95,1.25
S_24,V_99,2.5
S_25,V_1,19.5
S_25,V_15,3
S_25,V_16,3
S_25,V_17,1.5
S_25,V_18,6
S_25,V_19,150
S_25,V_21,224.5
S_25,V_22,1.5
S_25,V_23,148.5
S_25,V_25,10.5
S_25,V_26,4.5
S_25,V_29,3
S_25,V_3,2.5
S_25,V_31,4
S_25,V_32,6.25
S_25,V_37,16.5
S_25,V_40,4
S_25,V_42,412.5
S_25,V_44,6
S_25,V_45,3
S_25,V_47,2.25
S_25,V_49,1.5
S_25,V_5,7.5
S_25,V_52,2.75
S_25,V_54,5
S_25,V_55,7.5
S_25,V_56,13
S_25,V_59,6
S_25,V_60,138
S_25,V_64,1.5
S_25,V_65,540
S_25,V_66,76.5
S_25,V_67,1
S_25,V_71,7
S_25,V_73,6
S_25,V_76,1
S_25,V_8,90
S_25,V_80,0.5
S_25,V_84,3
S_25,V_85,5.5
S_25,V_88,1.5
S_25,V_9,307
S_26,V_58,23.504
S_26,V_86,1.5
S_26,V_89,2
S_26,V_98,1.25
S_27,V_10,1.5
S_27,V_11,4
S_27,V_48,2.25
S_27,V_58,42.5
S_3,V_20,2
S_3,V_4,9
S_3,V_51,2
S_3,V_52,4
S_3,V_6,4
S_3,V_68,15.5
S_3,V_70,4.5
S_3,V_81,1
S_3,V_99,3
S_4,V_48,4
S_4,V_51,1.5
S_4,V_70,3.75
S_4,V_89,83.75
S_4,V_98,1.5
S_5,V_10,0.5
S_5,V_35,5.5
S_5,V_53,1.5
S_5,V_58,21.5
S_6,V_30,3.75
S_6,V_58,14.5
S_7,V_30,19.25
S_7,V_89,1.5
S_8,V_58,17
S_9,V_37,8.5
S_9,V_83,4