node,Type
S_1,Buyer
S_10,Buyer
S_11,Buyer
S_12,Buyer
S_13,Buyer
S_14,Buyer
S_15,Buyer
S_16,Buyer
S_17,Buyer
S_18,Buyer
S_19,Buyer
S_2,Buyer
S_20,Buyer
S_21,Buyer
S_22,Buyer
S_23,Buyer
S_24,Buyer
S_25,Buyer
S_26,Buyer
S_27,Buyer
S_3,Buyer
S_4,Buyer
S_5,Buyer
S_6,Buyer
S_7,Buyer
S_8,Buyer
S_9,Buyer
V_1,Village
V_10,Village
V_11,Village
V_12,Village
V_13,Village
V_14,Village
V_15,Village
V_16,Village
V_17,Village
V_18,Village
V_19,Village
V_2,Village
V_20,Village
V_21,Village
V_22,Village
V_23,Village
V_24,Village
V_25,Village
V_26,Village
V_27,Village
V_28,Village
V_29,Village
V_3,Village
V_30,Village
V_31,Village
V_32,Village
V_33,Village
V_34,Village
V_35,Village
V_36,Village
V_37,Village
V_38,Village
V_39,Village
V_4,Village
V_40,Village
V_41,Village
V_42,Village
V_43,Village
V_44,Village
V_45,Village
V_46,Village
V_47,Village
V_48,Village
V_49,Village
V_5,Village
V_50,Village
V_51,Village
V_52,Village
V_53,Village
V_54,Village
V_55,Village
V_56,Village
V_57,Village
V_58,Village
V_59,Village
V_6,Village
V_60,Village
V_61,Village
V_62,Village
V_63,Village
V_64,Village
V_65,Village
V_66,Village
V_67,Village
V_68,Village
V_69,Village
V_7,Village
V_70,Village
V_71,Village
V_72,Village
V_73,Village
V_74,Village
V_75,Village
V_76,Village
V_77,Village
V_78,Village
V_79,Village
V_8,Village
V_80,Village
V_81,Village
V_82,Village
V_83,Village
V_84,Village
V_85,Village
V_86,Village
V_87,Village
V_88,Village
V_89,Village
V_9,Village
V_90,Village
V_91,Village
V_92,Village
V_93,Village
V_94,Village
V_95,Village
V_96,Village
V_97,Village
V_98,Village
V_99,Village